Sequence Name	Annotation GO ID	Annotation GO Term	Annotation GO Category
CSH1-2g11376	GO:0003729	mRNA binding	Molecular Function
CSH1-2g11376	GO:0003743	translation initiation factor activity	Molecular Function
CSH1-2g11376	GO:0005730	nucleolus	Cellular Component
CSH1-2g11376	GO:0006413	translational initiation	Biological Process
CSH1-2g11379			
CSH1-2g11381	GO:0016020	membrane	Cellular Component
CSH1-2g11383			
CSH1-2g11391			
CSH1-2g11393			
CSH1-2g11396	GO:0008146	sulfotransferase activity	Molecular Function
CSH1-2g11396	GO:0016020	membrane	Cellular Component
CSH1-2g11404	GO:0005179	hormone activity	Molecular Function
CSH1-2g11404	GO:0006995	cellular response to nitrogen starvation	Biological Process
CSH1-2g11404	GO:0007165	signal transduction	Biological Process
CSH1-2g11404	GO:0048046	apoplast	Cellular Component
CSH1-2g11404	GO:1901371	regulation of leaf morphogenesis	Biological Process
CSH1-2g11404	GO:1902025	nitrate import	Biological Process
CSH1-2g11404	GO:2000280	regulation of root development	Biological Process
CSH1-2g11408			
CSH1-2g11415			
CSH1-2g11420			
CSH1-2g11421	GO:0003964	RNA-directed DNA polymerase activity	Molecular Function
CSH1-2g11421	GO:0004519	endonuclease activity	Molecular Function
CSH1-2g11421	GO:0006278	RNA-templated DNA biosynthetic process	Biological Process
CSH1-2g11427			
CSH1-2g11430			
CSH1-2g11431			
CSH1-2g11432			
CSH1-2g11434			
CSH1-2g11440	GO:0008270	zinc ion binding	Molecular Function
CSH1-2g11450			
CSH1-2g11453	GO:0004072	aspartate kinase activity	Molecular Function
CSH1-2g11453	GO:0004412	homoserine dehydrogenase activity	Molecular Function
CSH1-2g11453	GO:0009086	methionine biosynthetic process	Biological Process
CSH1-2g11453	GO:0009088	threonine biosynthetic process	Biological Process
CSH1-2g11453	GO:0009089	lysine biosynthetic process via diaminopimelate	Biological Process
CSH1-2g11453	GO:0009090	homoserine biosynthetic process	Biological Process
CSH1-2g11453	GO:0046872	metal ion binding	Molecular Function
CSH1-2g11453	GO:0050661	NADP binding	Molecular Function
CSH1-2g11455			
CSH1-2g11458			
CSH1-2g11459			
CSH1-2g11465	GO:0005634	nucleus	Cellular Component
CSH1-2g11465	GO:0008270	zinc ion binding	Molecular Function
CSH1-2g11465	GO:0008409	5'-3' exonuclease activity	Molecular Function
CSH1-2g11465	GO:0016818	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	Molecular Function
CSH1-2g11465	GO:0017108	5'-flap endonuclease activity	Molecular Function
CSH1-2g11465	GO:0036297	interstrand cross-link repair	Biological Process
CSH1-2g11465	GO:0070336	flap-structured DNA binding	Molecular Function
CSH1-2g11479	GO:0006952	defense response	Biological Process
CSH1-2g11479	GO:0043531	ADP binding	Molecular Function
CSH1-2g11491	GO:0006952	defense response	Biological Process
CSH1-2g11491	GO:0043531	ADP binding	Molecular Function
CSH1-2g11500	GO:0006952	defense response	Biological Process
CSH1-2g11500	GO:0043531	ADP binding	Molecular Function
CSH1-2g11509	GO:0003676	nucleic acid binding	Molecular Function
CSH1-2g11509	GO:0004523	RNA-DNA hybrid ribonuclease activity	Molecular Function
CSH1-2g11510			
CSH1-2g11516	GO:0003677	DNA binding	Molecular Function
CSH1-2g11516	GO:0003729	mRNA binding	Molecular Function
CSH1-2g11516	GO:0008270	zinc ion binding	Molecular Function
CSH1-2g11519			
CSH1-2g11521			
CSH1-2g11535			
CSH1-2g11539	GO:0003824	catalytic activity	Molecular Function
CSH1-2g11540	GO:0003677	DNA binding	Molecular Function
CSH1-2g11540	GO:0004519	endonuclease activity	Molecular Function
CSH1-2g11540	GO:0006281	DNA repair	Biological Process
CSH1-2g11541	GO:0003677	DNA binding	Molecular Function
CSH1-2g11541	GO:0003906	DNA-(apurinic or apyrimidinic site) endonuclease activity	Molecular Function
CSH1-2g11541	GO:0004519	endonuclease activity	Molecular Function
CSH1-2g11541	GO:0005634	nucleus	Cellular Component
CSH1-2g11541	GO:0006284	base-excision repair	Biological Process
CSH1-2g11541	GO:0008081	phosphoric diester hydrolase activity	Molecular Function
CSH1-2g11541	GO:0008311	double-stranded DNA 3'-5' DNA exonuclease activity	Molecular Function
CSH1-2g11542			
CSH1-2g11544	GO:0003677	DNA binding	Molecular Function
CSH1-2g11544	GO:0005634	nucleus	Cellular Component
CSH1-2g11546	GO:0003824	catalytic activity	Molecular Function
CSH1-2g11546	GO:0016020	membrane	Cellular Component
CSH1-2g11549	GO:0003677	DNA binding	Molecular Function
CSH1-2g11549	GO:0005634	nucleus	Cellular Component
CSH1-2g11550	GO:0016020	membrane	Cellular Component
CSH1-2g11557			
CSH1-2g11567			
CSH1-2g11579	GO:0006259	DNA metabolic process	Biological Process
CSH1-2g11579	GO:0016787	hydrolase activity	Molecular Function
CSH1-2g11580			
CSH1-2g11581			
CSH1-2g11583			
CSH1-2g11586	GO:0016020	membrane	Cellular Component
CSH1-2g11589			
CSH1-2g11602	GO:0016020	membrane	Cellular Component
CSH1-2g11617			
CSH1-2g11618			
CSH1-2g11619	GO:0016020	membrane	Cellular Component
CSH1-2g11635			
CSH1-2g11640			
CSH1-2g11644	GO:0016020	membrane	Cellular Component
CSH1-2g11645	GO:0003700	DNA-binding transcription factor activity	Molecular Function
CSH1-2g11645	GO:0005634	nucleus	Cellular Component
CSH1-2g11645	GO:0006355	regulation of DNA-templated transcription	Biological Process
CSH1-2g11645	GO:0043565	sequence-specific DNA binding	Molecular Function
CSH1-2g11646			
CSH1-2g11650	GO:0016020	membrane	Cellular Component
CSH1-2g11654			
CSH1-2g11655			
CSH1-2g11656			
CSH1-2g11657			
CSH1-2g11658			
CSH1-2g11666	GO:0003824	catalytic activity	Molecular Function
CSH1-2g11668			
CSH1-2g11669			
CSH1-2g11670	GO:0005351	carbohydrate:proton symporter activity	Molecular Function
CSH1-2g11670	GO:0016020	membrane	Cellular Component
CSH1-2g11670	GO:0034219	carbohydrate transmembrane transport	Biological Process
CSH1-2g11670	GO:1902600	proton transmembrane transport	Biological Process
CSH1-2g11673	GO:0003676	nucleic acid binding	Molecular Function
CSH1-2g11673	GO:0004190	aspartic-type endopeptidase activity	Molecular Function
CSH1-2g11673	GO:0008270	zinc ion binding	Molecular Function
CSH1-2g11676			
CSH1-2g11677	GO:0016020	membrane	Cellular Component
CSH1-2g11697			
CSH1-2g11704	GO:0016020	membrane	Cellular Component
CSH1-2g11704	GO:0046983	protein dimerization activity	Molecular Function
CSH1-2g11708	GO:0008276	protein methyltransferase activity	Molecular Function
CSH1-2g11708	GO:0032259	methylation	Biological Process
CSH1-2g11711	GO:0005759	mitochondrial matrix	Cellular Component
CSH1-2g11711	GO:0016020	membrane	Cellular Component
CSH1-2g11711	GO:0016491	oxidoreductase activity	Molecular Function
CSH1-2g11719			
CSH1-2g11724			
CSH1-2g11730			
CSH1-2g11756			
CSH1-2g11766	GO:0005886	plasma membrane	Cellular Component
CSH1-2g11771			
CSH1-2g11780	GO:0009807	lignan biosynthetic process	Biological Process
CSH1-2g11780	GO:0016491	oxidoreductase activity	Molecular Function
CSH1-2g11792	GO:0031966	mitochondrial membrane	Cellular Component
CSH1-2g11795			
CSH1-2g11796	GO:0016020	membrane	Cellular Component
CSH1-2g11801	GO:0016020	membrane	Cellular Component
CSH1-2g11811			
CSH1-2g11812			
CSH1-2g11818			
CSH1-2g11824			
CSH1-2g11826	GO:0004347	glucose-6-phosphate isomerase activity	Molecular Function
CSH1-2g11826	GO:0006094	gluconeogenesis	Biological Process
CSH1-2g11826	GO:0006096	glycolytic process	Biological Process
CSH1-2g11826	GO:0097367	carbohydrate derivative binding	Molecular Function
CSH1-2g11828	GO:0005737	cytoplasm	Cellular Component
CSH1-2g11828	GO:0007165	signal transduction	Biological Process
CSH1-2g11828	GO:0008104	protein localization	Biological Process
CSH1-2g11831			
CSH1-2g11836	GO:0005886	plasma membrane	Cellular Component
CSH1-2g11836	GO:0098552	side of membrane	Cellular Component
CSH1-2g11845	GO:0008270	zinc ion binding	Molecular Function
CSH1-2g11845	GO:0016020	membrane	Cellular Component
CSH1-2g11845	GO:0016740	transferase activity	Molecular Function
CSH1-2g11846	GO:0008270	zinc ion binding	Molecular Function
CSH1-2g11846	GO:0016020	membrane	Cellular Component
CSH1-2g11846	GO:0016567	protein ubiquitination	Biological Process
CSH1-2g11846	GO:0016740	transferase activity	Molecular Function
CSH1-2g11856			
CSH1-2g11861			
CSH1-2g11888			
CSH1-2g11895			
CSH1-2g11897			
CSH1-2g11903			
CSH1-2g11908	GO:0000120	RNA polymerase I transcription regulator complex	Cellular Component
CSH1-2g11908	GO:0006360	transcription by RNA polymerase I	Biological Process
CSH1-2g11912			
CSH1-2g11918			
CSH1-2g11919			
CSH1-2g11953	GO:0016491	oxidoreductase activity	Molecular Function
CSH1-2g11953	GO:0046872	metal ion binding	Molecular Function
CSH1-2g11954	GO:0016491	oxidoreductase activity	Molecular Function
CSH1-2g11954	GO:0046872	metal ion binding	Molecular Function
CSH1-2g11955	GO:0016491	oxidoreductase activity	Molecular Function
CSH1-2g11955	GO:0046872	metal ion binding	Molecular Function
CSH1-2g11956	GO:0016491	oxidoreductase activity	Molecular Function
CSH1-2g11956	GO:0046872	metal ion binding	Molecular Function
CSH1-2g11957	GO:0016491	oxidoreductase activity	Molecular Function
CSH1-2g11957	GO:0046872	metal ion binding	Molecular Function
CSH1-2g11959	GO:0016020	membrane	Cellular Component
CSH1-2g11968	GO:0005739	mitochondrion	Cellular Component
CSH1-2g11971			
CSH1-2g11974			
CSH1-2g11980			
CSH1-2g11984	GO:0016020	membrane	Cellular Component
CSH1-2g11989	GO:0003676	nucleic acid binding	Molecular Function
CSH1-2g11994			
CSH1-2g11995			
CSH1-2g12006			
CSH1-2g12007			
CSH1-2g12008			
CSH1-2g12013	GO:0005615	extracellular space	Cellular Component
CSH1-2g12013	GO:0016020	membrane	Cellular Component
CSH1-2g12017			
CSH1-2g12028	GO:0003676	nucleic acid binding	Molecular Function
CSH1-2g12028	GO:0004190	aspartic-type endopeptidase activity	Molecular Function
CSH1-2g12028	GO:0015074	DNA integration	Biological Process
CSH1-2g12040			
CSH1-2g12045	GO:0003824	catalytic activity	Molecular Function
CSH1-2g12046	GO:0003824	catalytic activity	Molecular Function
CSH1-2g12046	GO:0008270	zinc ion binding	Molecular Function
CSH1-2g12059	GO:0003824	catalytic activity	Molecular Function
CSH1-2g12063	GO:0008270	zinc ion binding	Molecular Function
CSH1-2g12063	GO:0016020	membrane	Cellular Component
CSH1-2g12064	GO:0008270	zinc ion binding	Molecular Function
CSH1-2g12064	GO:0016020	membrane	Cellular Component
CSH1-2g12071			
CSH1-2g12072			
CSH1-2g12073	GO:0000326	protein storage vacuole	Cellular Component
CSH1-2g12073	GO:0005774	vacuolar membrane	Cellular Component
CSH1-2g12073	GO:0006511	ubiquitin-dependent protein catabolic process	Biological Process
CSH1-2g12073	GO:0008270	zinc ion binding	Molecular Function
CSH1-2g12073	GO:0012505	endomembrane system	Cellular Component
CSH1-2g12073	GO:0015031	protein transport	Biological Process
CSH1-2g12073	GO:0061630	ubiquitin protein ligase activity	Molecular Function
CSH1-2g12083			
CSH1-2g12087			
CSH1-2g12094			
CSH1-2g12095			
CSH1-2g12111			
CSH1-2g12121			
CSH1-2g12131	GO:0008270	zinc ion binding	Molecular Function
CSH1-2g12136			
CSH1-2g12143			
CSH1-2g12144			
CSH1-2g12145	GO:0003824	catalytic activity	Molecular Function
CSH1-2g12148			
CSH1-2g12153			
CSH1-2g12157	GO:0016020	membrane	Cellular Component
CSH1-2g12157	GO:0046983	protein dimerization activity	Molecular Function
CSH1-2g12161	GO:0016020	membrane	Cellular Component
CSH1-2g12180			
CSH1-2g12182	GO:0008270	zinc ion binding	Molecular Function
CSH1-2g12182	GO:0016020	membrane	Cellular Component
CSH1-2g12183			
CSH1-2g12184	GO:0003994	aconitate hydratase activity	Molecular Function
CSH1-2g12184	GO:0005739	mitochondrion	Cellular Component
CSH1-2g12184	GO:0006099	tricarboxylic acid cycle	Biological Process
CSH1-2g12184	GO:0006101	citrate metabolic process	Biological Process
CSH1-2g12184	GO:0030350	iron-responsive element binding	Molecular Function
CSH1-2g12184	GO:0046872	metal ion binding	Molecular Function
CSH1-2g12184	GO:0051539	4 iron, 4 sulfur cluster binding	Molecular Function
CSH1-2g12196			
CSH1-2g12207			
CSH1-2g12212			
CSH1-2g12213			
CSH1-2g12214			
CSH1-2g12220			
CSH1-2g12229			
CSH1-2g12262			
CSH1-2g12273	GO:0016740	transferase activity	Molecular Function
CSH1-2g12282	GO:0005794	Golgi apparatus	Cellular Component
CSH1-2g12282	GO:0007131	reciprocal meiotic recombination	Biological Process
CSH1-2g12287	GO:0008270	zinc ion binding	Molecular Function
CSH1-2g12294	GO:0003676	nucleic acid binding	Molecular Function
CSH1-2g12294	GO:0003964	RNA-directed DNA polymerase activity	Molecular Function
CSH1-2g12294	GO:0004519	endonuclease activity	Molecular Function
CSH1-2g12294	GO:0006278	RNA-templated DNA biosynthetic process	Biological Process
CSH1-2g12294	GO:0008270	zinc ion binding	Molecular Function
CSH1-2g12304			
CSH1-2g12309			
CSH1-2g12317	GO:0003677	DNA binding	Molecular Function
CSH1-2g12317	GO:0008270	zinc ion binding	Molecular Function
CSH1-2g12319	GO:0004190	aspartic-type endopeptidase activity	Molecular Function
CSH1-2g12330	GO:0008270	zinc ion binding	Molecular Function
CSH1-2g12330	GO:0016020	membrane	Cellular Component
CSH1-2g12337			
CSH1-2g12345	GO:0016020	membrane	Cellular Component
CSH1-2g12349			
CSH1-2g12350			
CSH1-2g12357			
CSH1-2g12359	GO:0003676	nucleic acid binding	Molecular Function
CSH1-2g12359	GO:0015074	DNA integration	Biological Process
CSH1-5g21145			
CSH1-5g21148	GO:0003676	nucleic acid binding	Molecular Function
CSH1-5g21148	GO:0004523	RNA-DNA hybrid ribonuclease activity	Molecular Function
CSH1-5g21160			
CSH1-5g21157			
CSH1-5g21172			
CSH1-5g21173			
CSH1-5g21180			
CSH1-5g21183	GO:0003824	catalytic activity	Molecular Function
CSH1-5g21177			
CSH1-5g21185			
CSH1-5g21190			
CSH1-5g21187	GO:0016020	membrane	Cellular Component
CSH1-5g21195			
CSH1-5g21202			
CSH1-5g21204			
CSH1-5g21213			
CSH1-5g21223			
CSH1-5g21225			
CSH1-5g21227			
CSH1-5g21229	GO:0004674	protein serine/threonine kinase activity	Molecular Function
CSH1-5g21229	GO:0005524	ATP binding	Molecular Function
CSH1-5g21229	GO:0005886	plasma membrane	Cellular Component
CSH1-5g21229	GO:0042742	defense response to bacterium	Biological Process
CSH1-5g21231	GO:0003824	catalytic activity	Molecular Function
CSH1-5g21232	GO:0003677	DNA binding	Molecular Function
CSH1-5g21232	GO:0004519	endonuclease activity	Molecular Function
CSH1-5g21232	GO:0006281	DNA repair	Biological Process
CSH1-5g21232	GO:0008270	zinc ion binding	Molecular Function
CSH1-5g21232	GO:0016020	membrane	Cellular Component
CSH1-5g21233	GO:0003906	DNA-(apurinic or apyrimidinic site) endonuclease activity	Molecular Function
CSH1-5g21233	GO:0005634	nucleus	Cellular Component
CSH1-5g21233	GO:0006284	base-excision repair	Biological Process
CSH1-5g21233	GO:0008081	phosphoric diester hydrolase activity	Molecular Function
CSH1-5g21233	GO:0008311	double-stranded DNA 3'-5' DNA exonuclease activity	Molecular Function
CSH1-5g21237			
CSH1-5g21238	GO:0004672	protein kinase activity	Molecular Function
CSH1-5g21249			
CSH1-5g21251			
CSH1-5g21252			
CSH1-5g21277			
CSH1-5g21280			
CSH1-5g21288			
CSH1-5g21292			
CSH1-5g21289			
CSH1-5g21317			
CSH1-5g21323	GO:0005737	cytoplasm	Cellular Component
CSH1-5g21323	GO:0008270	zinc ion binding	Molecular Function
CSH1-5g21323	GO:0016567	protein ubiquitination	Biological Process
CSH1-5g21323	GO:0061630	ubiquitin protein ligase activity	Molecular Function
CSH1-5g21312			
CSH1-5g21324			
CSH1-5g21336	GO:0003677	DNA binding	Molecular Function
CSH1-5g21336	GO:0003906	DNA-(apurinic or apyrimidinic site) endonuclease activity	Molecular Function
CSH1-5g21336	GO:0004519	endonuclease activity	Molecular Function
CSH1-5g21336	GO:0005634	nucleus	Cellular Component
CSH1-5g21336	GO:0006284	base-excision repair	Biological Process
CSH1-5g21336	GO:0008081	phosphoric diester hydrolase activity	Molecular Function
CSH1-5g21336	GO:0008311	double-stranded DNA 3'-5' DNA exonuclease activity	Molecular Function
CSH1-5g21350	GO:0000030	mannosyltransferase activity	Molecular Function
CSH1-5g21350	GO:0003723	RNA binding	Molecular Function
CSH1-5g21350	GO:0004815	aspartate-tRNA ligase activity	Molecular Function
CSH1-5g21350	GO:0005524	ATP binding	Molecular Function
CSH1-5g21350	GO:0005829	cytosol	Cellular Component
CSH1-5g21350	GO:0006422	aspartyl-tRNA aminoacylation	Biological Process
CSH1-5g21350	GO:0016020	membrane	Cellular Component
CSH1-5g21350	GO:0017101	aminoacyl-tRNA synthetase multienzyme complex	Cellular Component
CSH1-5g21350	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	Biological Process
CSH1-5g21358	GO:0016020	membrane	Cellular Component
CSH1-5g21370	GO:0016020	membrane	Cellular Component
CSH1-5g21370	GO:0043531	ADP binding	Molecular Function
CSH1-5g21370	GO:0098542	defense response to other organism	Biological Process
CSH1-5g21371			
CSH1-5g21373			
CSH1-5g21379	GO:0016787	hydrolase activity	Molecular Function
CSH1-5g21386	GO:0003676	nucleic acid binding	Molecular Function
CSH1-5g21386	GO:0004523	RNA-DNA hybrid ribonuclease activity	Molecular Function
CSH1-5g21393	GO:0000278	mitotic cell cycle	Biological Process
CSH1-5g21393	GO:0000940	outer kinetochore	Cellular Component
CSH1-5g21393	GO:0005737	cytoplasm	Cellular Component
CSH1-5g21393	GO:0005876	spindle microtubule	Cellular Component
CSH1-5g21393	GO:0007059	chromosome segregation	Biological Process
CSH1-5g21393	GO:0008017	microtubule binding	Molecular Function
CSH1-5g21393	GO:0051301	cell division	Biological Process
CSH1-5g21395	GO:0005886	plasma membrane	Cellular Component
CSH1-5g21402			
CSH1-5g21394	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds	Molecular Function
CSH1-5g21394	GO:0005975	carbohydrate metabolic process	Biological Process
CSH1-5g21408			
CSH1-5g21415			
CSH1-5g21429	GO:0004674	protein serine/threonine kinase activity	Molecular Function
CSH1-5g21429	GO:0005524	ATP binding	Molecular Function
CSH1-5g21429	GO:0005886	plasma membrane	Cellular Component
CSH1-5g21429	GO:0048544	recognition of pollen	Biological Process
CSH1-5g21439	GO:0005634	nucleus	Cellular Component
CSH1-5g21443			
CSH1-5g21451			
CSH1-5g21452			
CSH1-5g21455	GO:0003676	nucleic acid binding	Molecular Function
CSH1-5g21455	GO:0004523	RNA-DNA hybrid ribonuclease activity	Molecular Function
CSH1-5g21457	GO:0016020	membrane	Cellular Component
CSH1-5g21459			
CSH1-5g21460			
CSH1-5g21449			
CSH1-5g21468			
CSH1-5g21469	GO:0003824	catalytic activity	Molecular Function
CSH1-5g21470			
CSH1-5g21463			
CSH1-5g21475			
CSH1-5g21484			
CSH1-5g21482	GO:0016020	membrane	Cellular Component
CSH1-5g21492	GO:0016020	membrane	Cellular Component
CSH1-5g21492	GO:0043531	ADP binding	Molecular Function
CSH1-5g21492	GO:0098542	defense response to other organism	Biological Process
CSH1-5g21486			
CSH1-5g21490	GO:0003824	catalytic activity	Molecular Function
CSH1-5g21498	GO:0003677	DNA binding	Molecular Function
CSH1-5g21498	GO:0008270	zinc ion binding	Molecular Function
CSH1-5g21502			
CSH1-5g21503			
CSH1-5g21501			
CSH1-5g21506			
CSH1-5g21513	GO:0003676	nucleic acid binding	Molecular Function
CSH1-5g21513	GO:0004523	RNA-DNA hybrid ribonuclease activity	Molecular Function
CSH1-5g21517	GO:0016020	membrane	Cellular Component
CSH1-5g21519	GO:0016020	membrane	Cellular Component
CSH1-5g21521			
CSH1-5g21524			
CSH1-5g21523	GO:0016020	membrane	Cellular Component
CSH1-5g21526			
CSH1-5g21529	GO:0016020	membrane	Cellular Component
CSH1-5g21539	GO:0016020	membrane	Cellular Component
CSH1-5g21542			
CSH1-5g21538			
CSH1-5g21546			
CSH1-5g21579	GO:0005615	extracellular space	Cellular Component
CSH1-5g21579	GO:0005737	cytoplasm	Cellular Component
CSH1-5g21579	GO:0006508	proteolysis	Biological Process
CSH1-5g21579	GO:0008270	zinc ion binding	Molecular Function
CSH1-5g21579	GO:0016020	membrane	Cellular Component
CSH1-5g21579	GO:0042277	peptide binding	Molecular Function
CSH1-5g21579	GO:0043171	peptide catabolic process	Biological Process
CSH1-5g21579	GO:0043231	intracellular membrane-bounded organelle	Cellular Component
CSH1-5g21579	GO:0070006	metalloaminopeptidase activity	Molecular Function
CSH1-5g21588			
CSH1-5g21590			
CSH1-5g21591			
CSH1-5g21603			
CSH1-5g21605	GO:0004373	alpha-1,4-glucan glucosyltransferase (UDP-glucose donor) activity	Molecular Function
CSH1-5g21605	GO:0006357	regulation of transcription by RNA polymerase II	Biological Process
CSH1-5g21605	GO:0006629	lipid metabolic process	Biological Process
CSH1-5g21605	GO:0008374	O-acyltransferase activity	Molecular Function
CSH1-5g21605	GO:0016538	cyclin-dependent protein serine/threonine kinase regulator activity	Molecular Function
CSH1-5g21605	GO:0019252	starch biosynthetic process	Biological Process
CSH1-5g21605	GO:0051301	cell division	Biological Process
CSH1-5g21606			
CSH1-5g21607			
CSH1-5g21617	GO:0003676	nucleic acid binding	Molecular Function
CSH1-5g21617	GO:0004190	aspartic-type endopeptidase activity	Molecular Function
CSH1-5g21617	GO:0015074	DNA integration	Biological Process
CSH1-5g21618			
CSH1-5g21614			
CSH1-5g21623			
CSH1-5g21637	GO:0016020	membrane	Cellular Component
CSH1-5g21639			
CSH1-5g21636	GO:0016020	membrane	Cellular Component
CSH1-5g21646			
CSH1-5g21648	GO:0016020	membrane	Cellular Component
CSH1-5g21648	GO:0043531	ADP binding	Molecular Function
CSH1-5g21648	GO:0098542	defense response to other organism	Biological Process
CSH1-5g21651			
CSH1-5g21653	GO:0016020	membrane	Cellular Component
CSH1-5g21653	GO:0043531	ADP binding	Molecular Function
CSH1-5g21653	GO:0098542	defense response to other organism	Biological Process
CSH1-5g21654	GO:0016020	membrane	Cellular Component
CSH1-5g21654	GO:0043531	ADP binding	Molecular Function
CSH1-5g21654	GO:0098542	defense response to other organism	Biological Process
CSH1-5g21657	GO:0008270	zinc ion binding	Molecular Function
CSH1-5g21660	GO:0000160	phosphorelay signal transduction system	Biological Process
CSH1-5g21660	GO:0003677	DNA binding	Molecular Function
CSH1-5g21660	GO:0003700	DNA-binding transcription factor activity	Molecular Function
CSH1-5g21660	GO:0005634	nucleus	Cellular Component
CSH1-5g21660	GO:0006355	regulation of DNA-templated transcription	Biological Process
CSH1-5g21660	GO:0009736	cytokinin-activated signaling pathway	Biological Process
CSH1-5g21666	GO:0005634	nucleus	Cellular Component
CSH1-5g21670	GO:0005634	nucleus	Cellular Component
CSH1-5g21687			
CSH1-5g21699			
CSH1-5g21697			
CSH1-5g21702	GO:0016020	membrane	Cellular Component
CSH1-5g21709			
CSH1-5g21714			
CSH1-5g21723			
CSH1-5g21722	GO:0000149	SNARE binding	Molecular Function
CSH1-5g21722	GO:0006886	intracellular protein transport	Biological Process
CSH1-5g21722	GO:0008270	zinc ion binding	Molecular Function
CSH1-5g21722	GO:0009705	plant-type vacuole membrane	Cellular Component
CSH1-5g21722	GO:0022857	transmembrane transporter activity	Molecular Function
CSH1-5g21722	GO:0030127	COPII vesicle coat	Cellular Component
CSH1-5g21722	GO:0070971	endoplasmic reticulum exit site	Cellular Component
CSH1-5g21722	GO:0090110	COPII-coated vesicle cargo loading	Biological Process
CSH1-5g21722	GO:1905011	transmembrane phosphate ion transport from cytosol to vacuole	Biological Process
CSH1-5g21734	GO:0003824	catalytic activity	Molecular Function
CSH1-5g21735	GO:0000149	SNARE binding	Molecular Function
CSH1-5g21735	GO:0006629	lipid metabolic process	Biological Process
CSH1-5g21735	GO:0006886	intracellular protein transport	Biological Process
CSH1-5g21735	GO:0008270	zinc ion binding	Molecular Function
CSH1-5g21735	GO:0030127	COPII vesicle coat	Cellular Component
CSH1-5g21735	GO:0070971	endoplasmic reticulum exit site	Cellular Component
CSH1-5g21735	GO:0090110	COPII-coated vesicle cargo loading	Biological Process
CSH1-5g21737	GO:0005802	trans-Golgi network	Cellular Component
CSH1-5g21737	GO:0032367	intracellular cholesterol transport	Biological Process
CSH1-5g21737	GO:0055037	recycling endosome	Cellular Component
CSH1-5g21738			
CSH1-5g21733	GO:0003824	catalytic activity	Molecular Function
CSH1-5g21753	GO:0006952	defense response	Biological Process
CSH1-5g21753	GO:0007165	signal transduction	Biological Process
CSH1-5g21753	GO:0043531	ADP binding	Molecular Function
CSH1-5g21783			
CSH1-5g21784			
CSH1-5g21792	GO:0005886	plasma membrane	Cellular Component
CSH1-5g21794			
CSH1-5g21797			
CSH1-5g21802			
CSH1-5g21806			
CSH1-5g21807			
CSH1-5g21822			
CSH1-5g21819	GO:0004518	nuclease activity	Molecular Function
CSH1-5g21819	GO:0005634	nucleus	Cellular Component
CSH1-5g21819	GO:0016020	membrane	Cellular Component
CSH1-5g21819	GO:0046872	metal ion binding	Molecular Function
CSH1-5g21825			
CSH1-5g21834	GO:0003824	catalytic activity	Molecular Function
CSH1-5g21834	GO:0008270	zinc ion binding	Molecular Function
CSH1-5g21842	GO:0016020	membrane	Cellular Component
CSH1-5g21842	GO:0055085	transmembrane transport	Biological Process
CSH1-5g21839			
CSH1-5g21844			
CSH1-5g21849			
CSH1-5g21851			
CSH1-5g21870	GO:0005794	Golgi apparatus	Cellular Component
CSH1-5g21870	GO:0005829	cytosol	Cellular Component
CSH1-5g21870	GO:0009505	plant-type cell wall	Cellular Component
CSH1-5g21870	GO:0033356	UDP-L-arabinose metabolic process	Biological Process
CSH1-5g21870	GO:0052691	UDP-arabinopyranose mutase activity	Molecular Function
CSH1-5g21870	GO:0071555	cell wall organization	Biological Process
CSH1-5g21870	GO:0071669	plant-type cell wall organization or biogenesis	Biological Process
CSH1-5g21866			
CSH1-5g21875			
CSH1-5g21878			
CSH1-5g21891			
CSH1-5g21897	GO:0016020	membrane	Cellular Component
CSH1-5g21905	GO:0004674	protein serine/threonine kinase activity	Molecular Function
CSH1-5g21905	GO:0005524	ATP binding	Molecular Function
CSH1-5g21905	GO:0016020	membrane	Cellular Component
CSH1-5g21908	GO:0016020	membrane	Cellular Component
CSH1-5g21916	GO:0016020	membrane	Cellular Component
CSH1-5g21925			
CSH1-5g21930			
CSH1-5g21933			
CSH1-5g21942	GO:0000919	cell plate assembly	Biological Process
CSH1-5g21942	GO:0003924	GTPase activity	Molecular Function
CSH1-5g21942	GO:0005509	calcium ion binding	Molecular Function
CSH1-5g21942	GO:0005525	GTP binding	Molecular Function
CSH1-5g21942	GO:0005634	nucleus	Cellular Component
CSH1-5g21942	GO:0005743	mitochondrial inner membrane	Cellular Component
CSH1-5g21942	GO:0005828	kinetochore microtubule	Cellular Component
CSH1-5g21942	GO:0006325	chromatin organization	Biological Process
CSH1-5g21942	GO:0006486	protein glycosylation	Biological Process
CSH1-5g21942	GO:0010968	regulation of microtubule nucleation	Biological Process
CSH1-5g21942	GO:0012505	endomembrane system	Cellular Component
CSH1-5g21942	GO:0016298	lipase activity	Molecular Function
CSH1-5g21942	GO:0032467	positive regulation of cytokinesis	Biological Process
CSH1-5g21942	GO:0060236	regulation of mitotic spindle organization	Biological Process
CSH1-5g21942	GO:0140496	gamma-tubulin complex binding	Molecular Function
CSH1-5g21942	GO:2000694	regulation of phragmoplast microtubule organization	Biological Process
CSH1-5g21943			
CSH1-5g21947			
